formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C17H26N5O15P3	[M - H]-	C17H25N5O15P3-		0,412	18,942	18,942	0,000	8	0,934	4,674	4,674	3,356		632,059	60	1,004	694879183608805624	694877464611054825	3338	
1	C23H20N6O7S3	[M - H]-	C23H19N6O7S3-		0,434	28,641	19,608	9,032	21	0,942	-0,365	2,193	-0,108		587,048	61	1,016	694879292660722462	694877462396462003	3276	
1	C30H22Cl2N6O12	[M - H]-	C30H21Cl2N6O12-		0,999	32,307	32,307	0,000	18	0,959	1,027	1,733	1,115		727,061	61	1,018	694879239321752168	694877466838230619	3412	
1	C22H14N6O14	[M - H]-	C22H13N6O14-		0,266	23,972	23,972	0,000	24	0,951	-0,432	3,290	-0,893		585,049	61	1,019	694879227430899413	694877462241272735	3272	
1	C4H6N4O3	[M - H]-	C4H5N4O3-		0,967	2,000	2,000	0,000	0	0,000			-6,200		157,036	61	1,020	694879170036036135	694877352740563343	317	
1	C28H20O17	[M - H]-	C28H19O17-		0,770	11,448	11,448	0,000	3	0,760	0,364	1,967	-4,805		627,060	61	1,021	694879222645197807	694877464292287676	3329	
1	C24H22O20	[M - H]-	C24H21O20-		0,480	14,073	14,073	0,000	3	0,746	0,890	0,890	-6,226		629,059	61	1,021	694879189896068749	694877464502002906	3335	
1	C12H22O17S2	[M - H]-	C12H21O17S2-		0,957	20,885	20,885	0,000	6	0,880	1,681	1,681	7,395		501,026	61	1,021	694879183889824081	694877455572328551	3109	
1	C26H17ClN4O14	[M - H]-	C26H16ClN4O14-		0,138	15,506	15,506	0,000	6	0,828	1,099	1,099	3,728		643,038	61	1,023	694879203544335758	694877465215034701	3358	
1	C11H12N4O6S2	[M - H]-	C11H11N4O6S2-		1,000	58,825	57,201	1,624	28	0,826	-3,886	4,529	6,296		359,015	61	1,024	694879212234934296	694877426635821730	2411	
1	C26H14O10	[M - H]-	C26H13O10-		0,294	14,562	14,562	0,000	2	0,751	-1,604	1,604	-5,959		485,049	61	1,024	694879185278139154	694877453697474388	3054	
1	C4H10O9	[M - H]-	C4H9O9-		1,000	27,041	27,041	0,000	4	0,038	-5,883	8,967	0,918		201,025	62	1,027	694879189363392090	694877368255296049	759	
1	C9H8Cl2N4O3S	[M - H]-	C9H7Cl2N4O3S-		0,716	26,291	26,291	0,000	15	0,807	2,484	6,774	2,087		320,963	62	1,040	694879198397923973	694877411779595016	2024	
1	C6H5N3O9S	[M - H]-	C6H4N3O9S-		0,818	56,085	56,085	0,000	21	0,507	-0,375	5,415	0,159		293,967	62	1,040	694879208220985037	694877399146349682	1689	
1	C11H14N4O5P2	[M - H]-	C11H13N4O5P2-		0,773	28,502	28,502	0,000	13	0,984	-4,175	4,995	0,885		343,037	63	1,046	694879200931284077	694877421304860626	2267	
1	C6H7N2O5P	[M - H]-	C6H6N2O5P-		1,000	98,606	95,352	3,253	26	0,669	2,752	6,695	4,509		217,003	64	1,062	694879180869924839	694877373754029463	933	
1	C35H17ClN2O6S2	[M - H]-	C35H16ClN2O6S2-		0,561	15,564	6,670	8,893	5	0,688	1,977	2,943	0,031		659,014	65	1,076	694879237698556227	694877466230056419	3388	
1	C2HN2O6P	[M - H]-	C2N2O6P-		0,490	2,174	2,174	0,000	1	0,087	6,485	6,485	3,767		178,951	65	1,078	694879224767515968	694877359728274747	505	
1	C19H14N6O6S3	[M - H]-	C19H13N6O6S3-		0,477	17,094	13,230	3,864	6	0,863	-3,423	3,423	-6,322		517,003	65	1,078	694879191569596123	694877457216495919	3149	
1	C9H9N6O7PS	[M - H]-	C9H8N6O7PS-		0,522	37,538	32,774	4,764	23	0,784	0,866	4,838	0,619		374,992	65	1,081	694879212151048199	694877431715124416	2517	
1	H2O4S	[M - H]-	HO4S-		0,993	2,628	-1,179	3,807	1	0,320	2,199	11,465	13,685		96,961	65	1,085	694879202193769746	694877335195788136	2	
1	C4H2Cl2N8O4	[M - H]-	C4HCl2N8O4-		0,798	11,139	11,139	0,000	4	0,399	-10,006	10,006	-6,915		294,948	66	1,107	694879184628021801	694877399247012998	1693	
1	C4H2O10S2	[M - H]-	C4HO10S2-		0,191	-0,609	-0,609	0,000	0	0,000			-2,352		272,901	67	1,116	694879197693280762	694877391588212847	1486	
1	C2H3ClN2S2	[M - H]-	C2H2ClN2S2-		0,994	12,087	12,087	0,000	1	0,125	0,347	0,347	8,557		152,937	68	1,128	694879181268383768	694877351327082705	279	
1	C6H2Cl2O2Se	[M - H]-	C6HCl2O2Se-		0,358	-2,219	-2,219	0,000	0	0,000			-8,377		248,856	68	1,135	694879212838914151	694877384378203106	1253	
1	C2Cl3P5	[M - H]-	C2-HCl3P5-		1,000	-8,550	-8,550	0,000	0	0,000			9,761		282,771	69	1,157	694879173529891753	694877393786028508	1559	
1	CH2O2P2S5	[M - H]-	CHO2P2S5-		0,999	11,240	11,240	0,000	3	0,339	-9,131	9,131	-8,362		266,804	71	1,176	694879217326819898	694877389268762345	1408	
1	CNS4	[M - H]-	C-HNS4-		1,000	-5,215	-5,215	0,000	0	0,000			-3,150		152,884	71	1,180	694879167947272659	694877351205447874	276	
1	CH2O2S7	[M - H]-	CHO2S7-		0,762	-2,006	-2,006	0,000	1	0,041	-0,767	0,767	-6,696		268,801	71	1,180	694879223752494242	694877389772078925	1428	
1	C2HP5S	[M - H]-	C2P5S-		1,000	-5,965	-5,965	0,000	0	0,000			3,758		210,842	71	1,181	694879198838326028	694877371300361253	859	
1	P3SSe	[M - H]-	-HP3SSe-		1,000	-10,159	-11,483	1,324	1	0,004	-5,143	5,143	-3,316		197,808	71	1,186	694879221575650143	694877366946673016	722	
1	O5S6	[M - H]-	-HO5S6-		1,000	6,084	6,084	0,000	1	0,184	-4,464	4,464	-6,620		270,798	71	1,186	694879199106761565	694877390740963289	1456	
1	CClNP3S3	[M - H]-	C-HClNP3S3-		0,608	-11,825	-11,825	0,000	0	0,000			6,077		248,804	72	1,203	694879172514869951	694877384353037277	1252	
1	C16H28Cl2N6O14	[M - H]-	C16H27Cl2N6O14-		0,965	71,988	59,402	12,586	27	0,578	4,172	6,460	-0,835		597,096	73	1,209	694879203682747821	694877462912361465	3290	
1	C17H21ClN4O3S	[M - H]-	C17H20ClN4O3S-		0,999	54,905	54,520	0,385	31	0,724	1,225	7,142	2,296		395,096	73	1,210	694879236037611796	694877435636799271	2640	
1	C10H12ClNO10P2	[M - H]-	C10H11ClNO10P2-		1,000	54,950	46,509	8,441	28	0,737	1,612	2,625	-4,254		401,954	73	1,213	694879191892557599	694877438014969964	2705	
1	C6H12N4O9P2	[M - H]-	C6H11N4O9P2-		0,925	36,469	36,469	0,000	25	0,732	5,408	5,735	-7,753		344,998	73	1,217	694879184896457362	694877422504431680	2289	
1	C18H33ClO16	[M - H]-	C18H32ClO16-		0,918	71,745	59,294	12,452	24	0,815	0,392	2,228	-0,586		539,138	73	1,218	694879223299509333	694877459825353266	3199	
1	C2H4NO3S3	[M - H]-	C2H3NO3S3-		0,516	3,083	1,826	1,258	4	0,045	0,387	3,529	-1,214		184,928	73	1,219	694879198087545411	694877361619906131	561	
1	C2H3ClN2O2P2	[M - H]-	C2H2ClN2O2P2-		0,943	7,802	7,802	0,000	7	0,120	7,240	8,764	8,737		182,930	73	1,219	694879209567356752	694877361091423752	546	
1	C3H2NO3S2	[M - H]-	C3HNO3S2-		0,974	6,224	6,224	0,000	1	0,297	7,156	7,156	-2,722		162,940	73	1,220	694879224062872801	694877354695109282	372	
1	C6H13ClO6	[M - H]-	C6H12ClO6-		0,990	16,144	8,043	8,101	2	0,005	-5,549	5,549	-0,369		215,033	73	1,220	694879228294926216	694877372747396348	902	
1	C2H3N3O5P2	[M - H]-	C2H2N3O5P2-		0,701	15,646	15,646	0,000	7	0,434	1,809	1,809	5,873		209,949	73	1,220	694879183478782144	694877371187115025	855	
1	C8H13NO10P2	[M - H]-	C8H12NO10P2-		1,000	78,222	73,908	4,315	29	0,820	2,421	2,616	1,563		343,995	73	1,221	694879272842633855	694877422223413292	2285	
1	C8H14N2OS2	[M - H]-	C8H13N2OS2-		0,990	11,898	11,898	0,000	5	0,136	-10,498	11,773	-2,712		217,047	73	1,221	694879215133198709	694877373812749729	935	
1	C17H16N4O6S2	[M - H]-	C17H15N4O6S2-		0,696	50,072	50,072	0,000	34	0,775	1,433	3,108	-0,528		435,044	73	1,222	694879241448264857	694877443538868953	2827	
1	C8HClO	[M - H]-	C8ClO-		0,641	0,391	0,391	0,000	0	0,000			12,140		146,966	73	1,222	694879184812571249	694877349208958940	230	
1	C7H10N4O2	[M - H]-	C7H9N4O2-		1,000	22,463	21,852	0,611	7	0,101	-7,329	7,329	-9,605		181,071	73	1,224	694879214705379634	694877360734907857	535	
1	C7H6O2PSe	[M - H]-	C7H5O2PSe-		0,396	-0,279	-0,279	0,000	3	0,037	9,653	9,653	3,758		225,927	74	1,229	694879238348673391	694877376329332569	1023	
1	C13H19ClN4O7	[M - H]-	C13H18ClN4O7-		1,000	73,859	68,195	5,664	32	0,801	0,975	3,593	-3,713		377,086	74	1,232	694879215401634216	694877432134554881	2530	
1	C17H18N4O3S	[M - H]-	C17H17N4O3S-		0,939	125,641	125,641	0,000	34	0,673	0,285	4,307	2,114		357,103	74	1,232	694879211953915887	694877426300277360	2401	
1	ClN3OS2	[M - H]-	Cl-HN3OS2-		0,897	-2,219	-2,219	0,000	0	0,000			7,601		155,911	74	1,237	694879241335018603	694877352631511424	314	
1	C8H9N5O4P2	[M - H]-	C8H8N5O4P2-		1,000	80,804	76,591	4,213	27	0,548	-1,219	5,707	-2,169		300,005	75	1,242	694879248293370299	694877401331582401	1756	
1	C10H22ClN2O7P	[M - H]-	C10H21ClN2O7P-		0,999	79,614	72,486	7,128	38	0,855	1,198	2,855	-9,361		347,075	75	1,248	694879260796591894	694877423448150210	2315	
1	C4H11NO4S	[M - H]-	C4H10NO4S-		0,998	20,702	18,037	2,665	2	0,529	7,463	7,463	-2,395		168,033	75	1,249	694879242266154400	694877355928234833	407	
1	C15H22N4O9	[M - H]-	C15H21N4O9-		0,500	72,421	67,658	4,763	24	0,756	0,534	3,740	-5,589		401,129	75	1,249	694879263439003582	694877437801060425	2698	
1	C7H8N4O3	[M - H]-	C7H7N4O3-		0,716	19,271	16,488	2,783	8	0,009	-5,173	9,840	-8,632		195,051	75	1,250	694879244795320333	694877365726130372	686	
1	C5H10O6	[M - H]-	C5H9O6-		0,914	6,945	4,500	2,445	0	0,000			-1,646		165,040	75	1,250	694879257088826969	694877355328449271	389	
1	C10H12N4O5	[M - H]-	C10H11N4O5-		1,000	79,378	78,066	1,312	22	0,452	0,548	5,717	-5,852		267,072	75	1,251	694879262428176220	694877389323288307	1410	
1	C21H35N2O12PS2	[M - H]-	C21H34N2O12PS2-		0,492	32,302	25,774	6,528	12	0,494	0,413	4,358	-1,525		601,129	75	1,256	694879277347316647	694877463096910866	3295	
1	C6H12ClNO8P2	[M - H]-	C6H11ClNO8P2-		0,995	40,399	34,043	6,356	17	0,757	2,019	2,507	2,389		321,966	76	1,259	694879276168717167	694877412022864693	2033	
1	C12H27NO4P3	[M - H]-	C12H26NO4P3-		0,955	33,561	28,209	5,352	25	0,725	2,105	7,215	2,179		341,109	76	1,260	694879254257671296	694877420524719972	2245	
1	C23H28N4O7S	[M - H]-	C23H27N4O7S-		0,897	98,695	94,546	4,149	37	0,717	-0,062	4,552	0,847		503,161	76	1,260	694879281248019751	694877455698157691	3113	
1	C13H20N4O11S	[M - H]-	C13H19N4O11S-		0,518	20,697	13,711	6,986	19	0,797	-4,961	4,961	-4,696		439,076	76	1,261	694879279704515644	694877445694741414	2868	
1	C9H12ClN5O2	[M - H]-	C9H11ClN5O2-		1,000	18,813	12,111	6,702	5	0,025	-0,509	5,451	-6,545		256,059	76	1,270	694879247190268222	694877386026564853	1308	
1	C7H12N4O6S	[M - H]-	C7H11N4O6S-		1,000	159,621	154,346	5,276	38	0,697	-0,877	6,313	-4,905		279,039	76	1,271	694879265838145764	694877392808755516	1527	
1	C7H12O6	[M - H]-	C7H11O6-		1,000	25,158	22,121	3,037	6	0,042	0,567	3,271	-2,102		191,056	77	1,278	694879267297763728	694877364614639642	652	
1	C6H15NO10P4	[M - H]-	C6H14NO10P4-		0,411	44,845	44,845	0,000	25	0,762	0,622	2,347	0,219		383,957	77	1,279	694879263116042129	694877433984243230	2587	
1	C6H11NO8P2	[M - H]-	C6H10NO8P2-		1,000	76,999	76,055	0,944	26	0,605	0,254	6,791	2,507		285,989	77	1,279	694879249262254737	694877394624889448	1587	
1	C12H18N2O4S2	[M - H]-	C12H17N2O4S2-		1,000	58,374	58,374	0,000	32	0,795	3,360	6,483	0,654		317,064	77	1,284	694879264537911395	694877410282228248	1976	
1	C6H4O4	[M - H]-	C6H3O4-		1,000	9,103	6,989	2,114	1	0,029	5,719	5,719	2,359		139,004	77	1,288	694879255499185478	694877346734319290	172	
1	C24H30N8O12	[M - H]-	C24H29N8O12-		0,841	40,567	40,567	0,000	36	0,748	-1,266	3,826	-6,829		621,187	77	1,288	694879293713492858	694877463969326228	3321	
1	C29H32N2O14	[M - H]-	C29H31N2O14-		1,000	106,810	104,906	1,904	30	0,844	-5,185	5,408	-8,884		631,172	77	1,289	694879355973746163	694877464539751647	3336	
1	C8H8N4O3	[M - H]-	C8H7N4O3-		1,000	20,609	18,837	1,772	6	0,717	-6,842	13,199	-7,697		207,051	77	1,290	694879275556348725	694877370457305999	829	
1	C5H10O5	[M - H]-	C5H9O5-		0,964	7,209	4,500	2,709	0	0,000			0,557		149,046	78	1,293	694879283022210656	694877349825521708	246	
1	C6H7ClNO4S	[M - H]-	C6H6ClNO4S-		0,536	25,951	25,951	0,000	14	0,191	3,154	5,511	-5,000		222,970	78	1,295	694879290601319015	694877375326893733	987	
1	C4H4Cl2OS	[M - H]-	C4H3Cl2OS-		0,701	6,120	6,120	0,000	3	0,112	-16,409	16,409	8,733		168,930	78	1,299	694879287254264027	694877356049869664	410	
1	H4N6O4S	[M - H]-	H3N6O4S-		0,482	7,507	7,507	0,000	1	0,427	0,834	0,834	1,436		182,994	78	1,299	694879285572347795	694877361225641500	550	
1	C16H25N3O5S2	[M - H]-	C16H24N3O5S2-		0,991	66,158	66,158	0,000	36	0,796	1,293	5,848	3,515		402,118	78	1,300	694879305767923113	694877438065301622	2707	
1	C8H10N4O3	[M - H]-	C8H9N4O3-		1,000	62,876	62,876	0,000	19	0,453	-2,215	5,404	-8,723		209,066	78	1,301	694879288919402930	694877370797044688	842	
1	C25H42O22	[M - H]-	C25H41O22-		0,960	85,045	85,045	0,000	31	0,745	-0,691	2,321	-2,318		693,208	78	1,301	694879337862740027	694877466720790082	3407	
1	C9H20N3O3S2	[M - H]-	C9H19N3O3S2-		0,573	66,647	66,647	0,000	32	0,755	-1,161	4,418	0,598		281,088	78	1,305	694879297278651439	694877393383375259	1546	
1	C4H10N3O5	[M - H]-	C4H9N3O5-		0,500	40,102	37,646	2,457	14	0,098	2,877	3,046	7,322		179,056	78	1,306	694879286868387960	694877360135122295	517	
1	C20H34O18	[M - H]-	C20H33O18-		0,286	125,725	125,725	0,000	38	0,858	-2,863	4,621	-2,063		561,166	79	1,312	694879357177511979	694877461045895915	3236	
1	C7H8N4O	[M - H]-	C7H7N4O-		0,948	9,765	9,352	0,413	3	0,164	10,797	10,797	-10,759		163,061	79	1,313	694879310104833782	694877354829327030	376	
1	C11H21N4O4S2	[M - H]-	C11H20N4O4S2-		0,997	134,521	134,521	0,000	43	0,758	-0,458	4,412	0,876		336,093	79	1,315	694879315335131389	694877417894891213	2217	
1	C5H6O5	[M - H]-	C5H5O5-		1,000	14,101	11,538	2,563	1	0,251	9,831	9,831	4,504		145,015	79	1,318	694879310067085023	694877348542064524	214	
1	C5H7NO3	[M - H]-	C5H6NO3-		0,497	4,922	4,922	0,000	1	0,004	0,825	0,825	3,541		128,036	79	1,319	694879313246367908	694877343097857372	102	
1	C12H13NO8S2	[M - H]-	C12H12NO8S2-		0,333	69,324	68,943	0,381	32	0,731	-0,874	6,725	0,962		362,001	79	1,320	694879334415021887	694877427587928878	2439	
1	C7H8O7	[M - H]-	C7H7O7-		0,932	35,216	35,216	0,000	6	0,050	-4,917	4,917	2,679		203,020	79	1,324	694879329704818023	694877369597473529	799	
1	C4H4O4	[M - H]-	C4H3O4-		0,993	6,840	4,500	2,340	0	0,000			5,981		115,004	80	1,326	694879324910727937	694877339658527797	43	
1	C5H2N4O	[M - H]-	C5HN4O-		0,634	8,734	7,032	1,702	1	0,037	11,255	11,255	-7,625		133,015	80	1,326	694879325346935618	694877345228563974	136	
1	C2H4Cl2	[M - H]-	C2H3Cl2-		0,975	-0,902	-0,902	0,000	0	0,000	-6,673	6,673	-2,981		96,961	80	1,328	694879324550017745	694877335325811565	3	
1	C4H13NOPS2	[M - H]-	C4H12NOPS2-		0,740	18,098	18,098	0,000	7	0,314	-2,398	10,717	-0,601		185,010	80	1,329	694879337334257632	694877361682820701	563	
1	C9H12N2O6	[M - H]-	C9H11N2O6-		0,500	55,992	53,581	2,412	17	0,222	1,132	5,689	-5,758		243,061	80	1,330	694879347333479649	694877383023442659	1202	
1	C6H8O7	[M - H]-	C6H7O7-		0,250	25,434	22,932	2,501	5	0,130	-4,084	7,854	1,486		191,020	80	1,331	694879341117520413	694877364522364939	649	
1	C7H6O4	[M - H]-	C7H5O4-		0,498	10,939	10,939	0,000	2	0,097	1,694	11,707	2,469		153,020	80	1,333	694879340492569020	694877351419357403	281	
1	C8H8N2O6S	[M - H]-	C8H7N2O6S-		0,997	34,514	34,514	0,000	15	0,226	-1,031	4,685	13,125		259,006	80	1,336	694879350646979905	694877387159027098	1341	
1	C6H9NO3	[M - H]-	C6H8NO3-		0,495	2,000	2,000	0,000	0	0,000			2,135		142,051	80	1,338	694879332842157762	694877347636094755	193	
1	C10H10O7	[M - H]-	C10H9O7-		0,498	102,417	99,264	3,153	18	0,266	2,879	6,376	2,505		241,036	80	1,340	694879342241594125	694877382188776008	1171	
1	C5H5N3O2	[M - H]-	C5H4N3O2-		0,259	6,139	6,139	0,000	1	0,032	13,611	13,611	6,593		138,032	80	1,340	694879333538412315	694877346532992673	167	
1	C8H10O3	[M - H]-	C8H9O3-		1,000	14,442	11,376	3,066	2	0,044	-12,153	12,153	-0,704		153,056	80	1,341	694879345202772994	694877351532603626	284	
1	C26H34NO18	[M - H]-	C26H33NO18-		0,966	100,258	95,182	5,077	40	0,842	-0,397	2,776	-3,727		647,168	80	1,341	694879553873609426	694877465282143575	3360	
1	C4H6O7S	[M - H]-	C4H5O7S-		0,971	5,911	5,911	0,000	2	0,006	0,523	8,345	1,335		196,976	81	1,342	694879365998133731	694877366116200709	699	
1	C12H13NO5S	[M - H]-	C12H12NO5S-		1,000	51,661	51,661	0,000	23	0,802	0,152	3,664	-0,521		282,044	81	1,346	694879390933271628	694877393605673411	1554	
1	C11H22N2O7S	[M - H]-	C11H21N2O7S-		0,995	84,082	84,082	0,000	31	0,776	-0,396	3,480	1,982		325,108	81	1,348	694879367512277511	694877413297933304	2072	
1	C5H7ClN4O3S	[M - H]-	C5H6ClN4O3S-		0,580	43,990	43,990	0,000	23	0,313	3,120	7,172	7,459		236,987	81	1,349	694879404376016082	694877381228280212	1135	
1	C9H9N4O	[M - H]-	C9H8N4O-		0,986	36,069	33,378	2,692	11	0,166	-1,711	5,598	1,864		188,071	81	1,353	694879374495793950	694877363876442023	629	
1	C3H5NO2PS	[M - H]-	C3H4NO2PS-		0,252	0,564	0,564	0,000	1	0,475	-14,995	14,995	1,043		148,971	81	1,356	694879346574310573	694877349632583699	241	
1	C7H12N2O5	[M - H]-	C7H11N2O5-		1,000	25,148	25,148	0,000	8	0,163	-8,857	11,038	-6,131		203,066	81	1,356	694879351427120484	694877369870103334	808	
1	C12H18N3O3S2	[M - H]-	C12H17N3O3S2-		1,000	150,868	150,868	0,000	39	0,697	2,011	5,828	0,375		315,072	81	1,357	694879428111584158	694877407287494996	1939	
1	C4H8O6	[M - H]-	C4H7O6-		0,970	4,500	4,500	0,000	0	0,000			-14,842		151,023	81	1,357	694879412680738495	694877350467250300	262	
1	C25H26N4O4S2	[M - H]-	C25H25N4O4S2-		0,506	75,078	71,822	3,256	34	0,770	-3,390	5,106	-6,719		509,129	81	1,357	694879445723471129	694877456516047086	3136	
1	C7H6O5S	[M - H]-	C7H5O5S-		1,000	28,860	28,860	0,000	8	0,061	5,940	5,940	3,693		200,987	82	1,363	694879423426546281	694877368217547308	758	
1	C5H6N2O6S2	[M - H]-	C5H5N2O6S2-		1,000	54,797	54,797	0,000	12	0,340	0,976	4,477	-3,682		252,959	82	1,372	694879437699766710	694877385103817823	1278	
1	C5H6NO4P	[M - H]-	C5H5NO4P-		0,940	4,581	4,581	0,000	2	0,070	7,471	10,719	6,488		173,997	83	1,378	694879431769018074	694877358482566324	478	
1	C9H14N2O7	[M - H]-	C9H13N2O7-		1,000	131,283	131,283	0,000	26	0,380	2,468	5,048	-4,000		261,072	84	1,393	694879433765506862	694877387817532931	1362	
1	C4H8BrClN	[M - H]-	C4H7BrClN-		0,763	16,179	16,179	0,000	3	0,148	6,002	6,250	4,823		182,946	84	1,397	694879430867242603	694877361154338322	548	
1	C10H17N5O2S2	[M - H]-	C10H16N5O2S2-		0,500	90,877	90,877	0,000	32	0,563	-3,668	6,778	-2,683		302,074	84	1,404	694879434348515183	694877402090751555	1782	
1	C5H3N3S3	[M - H]-	C5H2N3S3-		0,705	0,709	0,709	0,000	1	0,005	4,943	4,943	-0,718		199,941	85	1,412	694879449095691826	694877367974277636	750	
1	CHN3O2S4	[M - H]-	CN3O2S4-		0,965	-0,609	-0,609	0,000	0	0,000			6,574		213,889	85	1,412	694879439067110019	694877372499932377	895	
1	HNO3P3	[M - H]-	NO3P3-		0,688	-9,113	-9,113	0,000	0	0,000	-7,852	7,852	-8,207		154,908	86	1,427	694879437687183777	694877351964616998	296	
1	C23H28N4O7S	[M - H]-	C23H27N4O7S-		1,000	93,390	93,390	0,000	43	0,809	-1,914	4,250	0,052		503,161	86	1,431	694879500215871955	694877455664603254	3112	
1	C5H6O3	[M - H]-	C5H5O3-		1,000	5,149	4,500	0,649	0	0,000			9,754		113,026	86	1,434	694879446184844643	694877339146822669	35	
1	C4H6O4	[M - H]-	C4H5O4-		0,923	4,500	4,500	0,000	0	0,000			3,399		117,020	86	1,439	694879439574620940	694877340262507633	55	
1	C5H3O5PS2	[M - H]-	C5H2O5PS2-		0,391	2,139	2,139	0,000	2	0,022	6,925	6,925	-2,218		236,908	87	1,457	694879454103691184	694877381182142858	1133	
1	BrCl2N4O	[M - H]-	BrCl2-HN4O-		0,652	-5,236	-5,236	0,000	1	0,023	-6,532	6,532	-14,494		219,853	87	1,458	694879453717815182	694877374395758090	956	
1	C6H10N2O2	[M - H]-	C6H9N2O2-		0,968	1,512	1,512	0,000	0	0,000	-7,153	7,153	-4,403		141,066	88	1,459	694879439356517064	694877347283773179	185	
1	CH4OPS5	[M - H]-	CH3OPS5-		0,952	-1,107	-1,107	0,000	4	0,036	5,132	6,498	-9,849		221,851	88	1,461	694879446402948477	694877375180093068	982	
1	H2O4PS4	[M - H]-	HO4PS4-		0,666	-8,811	-8,811	0,000	0	0,000			-8,969		223,848	88	1,461	694879457127784494	694877375683409633	999	
1	C5H7Cl2N3O4P2	[M - H]-	C5H6Cl2N3O4P2-		0,765	37,608	37,608	0,000	15	0,347	4,181	5,355	1,159		303,922	88	1,466	694879456804823049	694877402489210510	1797	
1	C5H9NO3	[M - H]-	C5H8NO3-		0,999	18,854	18,854	0,000	3	0,101	0,082	3,359	1,563		130,051	88	1,474	694879478044779314	694877344192570791	117	
1	C2H2OP4	[M - H]-	C2HOP4-		0,743	-4,307	-4,307	0,000	0	0,000	8,261	8,261	9,310		164,900	89	1,481	694879478384517960	694877355055819476	382	
1	C2H3N2O4PS	[M - H]-	C2H2N2O4PS-		0,998	16,312	16,312	0,000	5	0,311	4,907	7,196	4,765		180,949	89	1,482	694879477604377336	694877360432917924	526	
1	CH2NO4S2	[M - H]-	CHNO4S2-		0,918	0,262	0,262	0,000	2	0,116	-15,883	15,883	-12,057		154,933	89	1,487	694879483673535634	694877352035920176	298	
1	C5H6NO4PS3	[M - H]-	C5H5NO4PS3-		1,000	34,605	34,605	0,000	16	0,615	7,539	8,219	6,295		269,914	89	1,487	694879500509473277	694877390644494282	1453	
1	C4H5ClN2S2	[M - H]-	C4H4ClN2S2-		0,486	11,417	11,417	0,000	1	0,373	-9,117	9,117	4,798		178,952	90	1,494	694879495040100494	694877359799577925	507	
1	C7H10N2O4	[M - H]-	C7H9N2O4-		1,000	35,032	35,032	0,000	10	0,126	1,522	9,089	-2,974		185,056	90	1,499	694879481333113841	694877361817038449	567	
1	C3H8N2O6P2S	[M - H]-	C3H7N2O6P2S-		0,941	24,183	24,183	0,000	9	0,283	6,863	7,032	14,816		260,954	90	1,504	694879492036978438	694877387712675316	1359	
1	C3H6NO2P3	[M - H]-	C3H5NO2P3-		0,949	20,865	20,865	0,000	10	0,241	3,292	10,937	-0,010		179,954	91	1,512	694879485565166933	694877360344837525	523	
1	C14H9N3O6S	[M - H]-	C14H8N3O6S-		1,000	95,381	95,381	0,000	34	0,763	-3,676	5,222	-10,403		346,010	91	1,515	694879498617841939	694877423326515374	2311	
1	C4H11N4O6P	[M - H]-	C4H10N4O6P-		0,543	42,028	42,028	0,000	19	0,371	2,742	4,619	2,513		241,035	91	1,520	694879499293124962	694877382130055742	1169	
1	C9H10Cl2NO2S2	[M - H]-	C9H9Cl2NO2S2-		0,432	43,452	43,452	0,000	17	0,523	-1,080	6,777	-0,419		296,946	91	1,521	694879514388426872	694877399804855520	1711	
1	C8H8Cl2N5O3P	[M - H]-	C8H7Cl2N5O3P-		0,813	40,134	40,134	0,000	20	0,516	2,290	4,356	1,290		321,967	91	1,522	694879509355261572	694877412048030522	2034	
1	C9H10O5	[M - H]-	C9H9O5-		0,958	10,894	8,464	2,430	2	0,006	-0,445	11,383	4,583		197,046	92	1,526	694879525868238634	694877366460133677	707	
1	C4H5ClN4O2S	[M - H]-	C4H4ClN4O2S-		1,000	37,784	37,784	0,000	12	0,259	-1,774	6,601	-0,762		206,975	92	1,531	694879523418764529	694877370344059771	825	
1	C10H17N5O2S2	[M - H]-	C10H16N5O2S2-		0,725	99,596	99,596	0,000	27	0,611	-3,223	5,240	-3,874		302,074	92	1,532	694879522680566848	694877402065585726	1781	
1	C6H3Br	[M - H]-	C6H2Br-		0,969	2,981	2,981	0,000	1	0,012	13,917	13,917	13,628		152,937	92	1,533	694879523217437888	694877351289333964	278	
1	C8H10O3	[M - H]-	C8H9O3-		0,922	10,608	7,743	2,866	2	0,036	-0,747	14,148	0,015		153,056	92	1,535	694879524857411225	694877351599712500	286	
1	C4H6N2O2S2	[M - H]-	C4H5N2O2S2-		0,986	8,296	8,296	0,000	3	0,101	15,558	15,558	6,312		176,981	92	1,537	694879522961585278	694877358964911359	493	
1	C7H7O3	[M - H]-	C7H6O3-		0,272	8,676	5,837	2,839	1	0,012	-1,695	1,695	-1,106		138,032	93	1,545	694879523498456381	694877346574935718	168	
1	C7H6Cl2N4O3S	[M - H]-	C7H5Cl2N4O3S-		0,995	61,040	61,040	0,000	27	0,553	-1,009	6,410	6,374		294,948	93	1,549	694879528686811146	694877399284761739	1694	
