feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
P4_G3	Genotype	ccamk	-3.70074324095928	0.462926997465532	29	29	3.19658147878965e-08	7.54393228994357e-06
P4_G3	Genotype	nsp1	-2.65349019389485	0.462926997465532	29	29	6.609182113292e-06	0.000779883489368457
P4_B2	Genotype	ccamk	-1.6319124451857	0.314525889015484	29	29	2.58040663187155e-05	0.00202991988373895
P4_B2	Genotype	nsp1	-1.54796683429483	0.314525889015484	29	29	5.07129271622907e-05	0.00299206270257515
P5_C1	Genotype	ccamk	-3.04077083476732	0.65063896865512	29	24	9.52496735526627e-05	0.00449578459168568
P4_G3	Genotype	symrk	-2.02418729899664	0.462926997465532	29	29	0.000204802944427545	0.00800002035761697
P1_A9	Genotype	ccamk	-2.52319501080668	0.58479470148081	29	27	0.000237288739420842	0.00800002035761697
P4_B2	Genotype	symrk	-1.3236186049406	0.314525889015484	29	29	0.000310889088951376	0.0081522027769472
P3_A2	Genotype	nsp2	2.63092473375514	0.618692309722335	29	24	0.000277961122796724	0.0081522027769472
P2_E10	Genotype	nsp1	-3.75877099282598	0.917092703110036	29	13	0.00041061044376721	0.00969040647290617
P4_G3	Genotype	nsp2	-1.85650816669609	0.462926997465532	29	29	0.00051327998506462	0.0100945063729375
P2_G8	Genotype	nsp2	-3.0829568788052	0.766722395749259	29	22	0.000499726019227271	0.0100945063729375
P5_C1	Genotype	nsp1	-2.58659471852834	0.650638968655121	29	24	0.000560591186211129	0.010176886149679
P3_C6	Genotype	ccamk	-2.24405880893372	0.586111963684893	29	17	0.000811351924001574	0.0136770752903123
P2_B1	Genotype	ccamk	-2.78550629524123	0.739847583852352	29	19	0.000952134147993599	0.0149802439284326
P1_A8	Genotype	ccamk	-1.45386218216699	0.394575047930511	29	29	0.00116417503854886	0.0171715818185957
P2_B1	Genotype	nsp2	-2.6391078369703	0.739847583852352	29	19	0.00156010662196965	0.0204547312658243
P2_E10	Genotype	nsp2	-3.28588820081136	0.917092703110036	29	13	0.0014998957587031	0.0204547312658243
P4_G1	Genotype	ccamk	-1.02008387661011	0.290180960939601	29	29	0.00177374743689382	0.02158518246721
P2_C2.P4_E2	Genotype	nsp1	2.41582615177177	0.689667148567409	29	19	0.00182925275145847	0.02158518246721
P3_C6	Genotype	nsp1	-1.98710429468917	0.586111963684893	29	17	0.00241436935371627	0.0271329127370019
P2_E10	Genotype	symrk	-3.05639442203234	0.917092703110036	29	13	0.002780622235396	0.0298284930706116
